GeneSymbol	GeneId	PrimaryPubMed	EvidenceCode	IsNegative	Comments	Score	Strength	ScoreType	ExternalDatabase	DatabaseLink	Phenotypes
PBX1		23319801	TAS		Disease/Trait: Breast cancer (prognosis); Initial Sample Size: 536 early-onset cases; Replication Sample Size: 1,516 early-onset cases; Strongest SNP-Risk Allele: rs1387389-?; SNPs: rs1387389; Context: intron; Risk Allele Frequency: 0.36; p-Value: 4E-6; OR or beta:    1.28; Platform [SNPs passing QC]: Illumina [487,496]	0.000004	0.4	P-value	GWAS_Catalog	http://www.genome.gov/gwastudies/index.cfm	breast cancer
SYT6		23319801	TAS		Disease/Trait: Breast cancer (prognosis); Initial Sample Size: 536 early-onset cases; Replication Sample Size: 1,516 early-onset cases; Strongest SNP-Risk Allele: rs2774307-?; SNPs: rs2774307; Context: intron; Risk Allele Frequency: 0.26; p-Value: 8E-6; OR or beta:    1.30; Platform [SNPs passing QC]: Illumina [487,496]	0.000008	0.4	P-value	GWAS_Catalog	http://www.genome.gov/gwastudies/index.cfm	breast cancer
NTN1		23319801	TAS		Disease/Trait: Breast cancer (prognosis); Initial Sample Size: 536 early-onset cases; Replication Sample Size: 1,516 early-onset cases; Strongest SNP-Risk Allele: rs3785982-?; SNPs: rs3785982; Context: intron; Risk Allele Frequency: 0.12; p-Value: 8E-6; OR or beta:    1.40; Platform [SNPs passing QC]: Illumina [487,496]	0.000008	0.4	P-value	GWAS_Catalog	http://www.genome.gov/gwastudies/index.cfm	breast cancer
C6orf10		23321320	TAS		Disease/Trait: Hepatitis C induced liver cirrhosis; Initial Sample Size: 682 Japanese ancestry cases, 1,045 Japanese ancestry controls; Replication Sample Size: 936 Japanese ancestry cases, 3,809 Japanese ancestry controls; Strongest SNP-Risk Allele: rs910049-A; SNPs: rs910049; Context: intron; Risk Allele Frequency: 0.142; p-Value: 9E-11; OR or beta:    1.46; Platform [SNPs passing QC]: Illumina [431,618]	0.00000000009	0.4	P-value	GWAS_Catalog	http://www.genome.gov/gwastudies/index.cfm	hepatitis C;liver cirrhosis
BTNL2		23321320	TAS		Disease/Trait: Hepatitis C induced liver cirrhosis; Initial Sample Size: 682 Japanese ancestry cases, 1,045 Japanese ancestry controls; Replication Sample Size: 936 Japanese ancestry cases, 3,809 Japanese ancestry controls; Strongest SNP-Risk Allele: rs3817963-A; SNPs: rs3817963; Context: intron; Risk Allele Frequency: 0.315; p-Value: 1E-8; OR or beta:    1.30; Platform [SNPs passing QC]: Illumina [431,618]	0.00000001	0.4	P-value	GWAS_Catalog	http://www.genome.gov/gwastudies/index.cfm	hepatitis C;liver cirrhosis
TCF7L2		23300278	TAS		Disease/Trait: Type 2 diabetes; Initial Sample Size: 842 Punjabi Sikh cases, 774 Punjabi Sikh controls; Replication Sample Size: up to 2,512 Punjabi Sikh cases and 3,201 Punjabi Sikh controls; up to 2,569 non-Sikh Punjabi cases and 3,024 non-Sikh Punjabi controls; up to 13,559 other South Asian cases and 20,822 other South Asian controls; up to 16,746 East Asian ancestry cases and 16,961 East Asian ancestry controls; up to 8,130 European ancestry cases and 38,987 European ancestry controls; Strongest SNP-Risk Allele: rs7903146-T; SNPs: rs7903146; Context: intron; Risk Allele Frequency: 0.3; p-Value: 2E-38; OR or beta:    1.15; Platform [SNPs passing QC]: Illumina [1,232,008] (imputed)	0	0.4	P-value	GWAS_Catalog	http://www.genome.gov/gwastudies/index.cfm	type 2 diabetes mellitus
IGF2BP2		23300278	TAS		Disease/Trait: Type 2 diabetes; Initial Sample Size: 842 Punjabi Sikh cases, 774 Punjabi Sikh controls; Replication Sample Size: up to 2,512 Punjabi Sikh cases and 3,201 Punjabi Sikh controls; up to 2,569 non-Sikh Punjabi cases and 3,024 non-Sikh Punjabi controls; up to 13,559 other South Asian cases and 20,822 other South Asian controls; up to 16,746 East Asian ancestry cases and 16,961 East Asian ancestry controls; up to 8,130 European ancestry cases and 38,987 European ancestry controls; Strongest SNP-Risk Allele: rs1470579-C; SNPs: rs1470579; Context: intron; Risk Allele Frequency: 0.45; p-Value: 2E-13; OR or beta:    1.06; Platform [SNPs passing QC]: Illumina [1,232,008] (imputed)	0.0000000000002	0.4	P-value	GWAS_Catalog	http://www.genome.gov/gwastudies/index.cfm	type 2 diabetes mellitus
TCF7L2		23300278	TAS		Disease/Trait: Type 2 diabetes; Initial Sample Size: 842 Punjabi Sikh cases, 774 Punjabi Sikh controls; Replication Sample Size: up to 2,512 Punjabi Sikh cases and 3,201 Punjabi Sikh controls; up to 2,569 non-Sikh Punjabi cases and 3,024 non-Sikh Punjabi controls; up to 13,559 other South Asian cases and 20,822 other South Asian controls; up to 16,746 East Asian ancestry cases and 16,961 East Asian ancestry controls; up to 8,130 European ancestry cases and 38,987 European ancestry controls; Strongest SNP-Risk Allele: rs7903146-T; SNPs: rs7903146; Context: intron; Risk Allele Frequency: 0.5; p-Value: 9E-75; OR or beta:    1.19; Platform [SNPs passing QC]: Illumina [1,232,008] (imputed)	0	0.4	P-value	GWAS_Catalog	http://www.genome.gov/gwastudies/index.cfm	type 2 diabetes mellitus
IGF2BP2		23300278	TAS		Disease/Trait: Type 2 diabetes; Initial Sample Size: 842 Punjabi Sikh cases, 774 Punjabi Sikh controls; Replication Sample Size: up to 2,512 Punjabi Sikh cases and 3,201 Punjabi Sikh controls; up to 2,569 non-Sikh Punjabi cases and 3,024 non-Sikh Punjabi controls; up to 13,559 other South Asian cases and 20,822 other South Asian controls; up to 16,746 East Asian ancestry cases and 16,961 East Asian ancestry controls; up to 8,130 European ancestry cases and 38,987 European ancestry controls; Strongest SNP-Risk Allele: rs1470579-C; SNPs: rs1470579; Context: intron; Risk Allele Frequency: 0.5; p-Value: 2E-19; OR or beta:    1.08; Platform [SNPs passing QC]: Illumina [1,232,008] (imputed)	0	0.4	P-value	GWAS_Catalog	http://www.genome.gov/gwastudies/index.cfm	type 2 diabetes mellitus
IGF2BP2		23300278	TAS		Disease/Trait: Type 2 diabetes; Initial Sample Size: 842 Punjabi Sikh cases, 774 Punjabi Sikh controls; Replication Sample Size: up to 2,512 Punjabi Sikh cases and 3,201 Punjabi Sikh controls; up to 2,569 non-Sikh Punjabi cases and 3,024 non-Sikh Punjabi controls; up to 13,559 other South Asian cases and 20,822 other South Asian controls; up to 16,746 East Asian ancestry cases and 16,961 East Asian ancestry controls; up to 8,130 European ancestry cases and 38,987 European ancestry controls; Strongest SNP-Risk Allele: rs1470579-C; SNPs: rs1470579; Context: intron; Risk Allele Frequency: 0.45; p-Value: 4E-9; OR or beta:    1.06; Platform [SNPs passing QC]: Illumina [1,232,008] (imputed)	0.000000004	0.4	P-value	GWAS_Catalog	http://www.genome.gov/gwastudies/index.cfm	type 2 diabetes mellitus
TCF7L2		23300278	TAS		Disease/Trait: Type 2 diabetes; Initial Sample Size: 842 Punjabi Sikh cases, 774 Punjabi Sikh controls; Replication Sample Size: up to 2,512 Punjabi Sikh cases and 3,201 Punjabi Sikh controls; up to 2,569 non-Sikh Punjabi cases and 3,024 non-Sikh Punjabi controls; up to 13,559 other South Asian cases and 20,822 other South Asian controls; up to 16,746 East Asian ancestry cases and 16,961 East Asian ancestry controls; up to 8,130 European ancestry cases and 38,987 European ancestry controls; Strongest SNP-Risk Allele: rs7903146-T; SNPs: rs7903146; Context: intron; Risk Allele Frequency: 0.3; p-Value: 3E-35; OR or beta:    1.15; Platform [SNPs passing QC]: Illumina [1,232,008] (imputed)	0	0.4	P-value	GWAS_Catalog	http://www.genome.gov/gwastudies/index.cfm	type 2 diabetes mellitus
TCF7L2		23300278	TAS		Disease/Trait: Type 2 diabetes; Initial Sample Size: 842 Punjabi Sikh cases, 774 Punjabi Sikh controls; Replication Sample Size: up to 2,512 Punjabi Sikh cases and 3,201 Punjabi Sikh controls; up to 2,569 non-Sikh Punjabi cases and 3,024 non-Sikh Punjabi controls; up to 13,559 other South Asian cases and 20,822 other South Asian controls; up to 16,746 East Asian ancestry cases and 16,961 East Asian ancestry controls; up to 8,130 European ancestry cases and 38,987 European ancestry controls; Strongest SNP-Risk Allele: rs7903146-T; SNPs: rs7903146; Context: intron; Risk Allele Frequency: 0.31; p-Value: 3E-19; OR or beta:    1.44; Platform [SNPs passing QC]: Illumina [1,232,008] (imputed)	0	0.4	P-value	GWAS_Catalog	http://www.genome.gov/gwastudies/index.cfm	type 2 diabetes mellitus
RHOU		23300278	TAS		Disease/Trait: Type 2 diabetes; Initial Sample Size: 842 Punjabi Sikh cases, 774 Punjabi Sikh controls; Replication Sample Size: up to 2,512 Punjabi Sikh cases and 3,201 Punjabi Sikh controls; up to 2,569 non-Sikh Punjabi cases and 3,024 non-Sikh Punjabi controls; up to 13,559 other South Asian cases and 20,822 other South Asian controls; up to 16,746 East Asian ancestry cases and 16,961 East Asian ancestry controls; up to 8,130 European ancestry cases and 38,987 European ancestry controls; Strongest SNP-Risk Allele: rs6426514-A; SNPs: rs6426514; Context: ncRNA; Risk Allele Frequency: 0.06; p-Value: 2E-6; OR or beta:    1.51; Platform [SNPs passing QC]: Illumina [1,232,008] (imputed)	0.000002	0.4	P-value	GWAS_Catalog	http://www.genome.gov/gwastudies/index.cfm	type 2 diabetes mellitus
IGF2BP2		23300278	TAS		Disease/Trait: Type 2 diabetes; Initial Sample Size: 842 Punjabi Sikh cases, 774 Punjabi Sikh controls; Replication Sample Size: up to 2,512 Punjabi Sikh cases and 3,201 Punjabi Sikh controls; up to 2,569 non-Sikh Punjabi cases and 3,024 non-Sikh Punjabi controls; up to 13,559 other South Asian cases and 20,822 other South Asian controls; up to 16,746 East Asian ancestry cases and 16,961 East Asian ancestry controls; up to 8,130 European ancestry cases and 38,987 European ancestry controls; Strongest SNP-Risk Allele: rs1470579-C; SNPs: rs1470579; Context: intron; Risk Allele Frequency: 0.41; p-Value: 5E-6; OR or beta:    1.19; Platform [SNPs passing QC]: Illumina [1,232,008] (imputed)	0.000005	0.4	P-value	GWAS_Catalog	http://www.genome.gov/gwastudies/index.cfm	type 2 diabetes mellitus
TCF7L2		23300278	TAS		Disease/Trait: Type 2 diabetes; Initial Sample Size: 842 Punjabi Sikh cases, 774 Punjabi Sikh controls; Replication Sample Size: up to 2,512 Punjabi Sikh cases and 3,201 Punjabi Sikh controls; up to 2,569 non-Sikh Punjabi cases and 3,024 non-Sikh Punjabi controls; up to 13,559 other South Asian cases and 20,822 other South Asian controls; up to 16,746 East Asian ancestry cases and 16,961 East Asian ancestry controls; up to 8,130 European ancestry cases and 38,987 European ancestry controls; Strongest SNP-Risk Allele: rs7903146-T; SNPs: rs7903146; Context: intron; Risk Allele Frequency: 0.31; p-Value: 6E-22; OR or beta:    1.30; Platform [SNPs passing QC]: Illumina [1,232,008] (imputed)	0	0.4	P-value	GWAS_Catalog	http://www.genome.gov/gwastudies/index.cfm	type 2 diabetes mellitus
IGF2BP2		23300278	TAS		Disease/Trait: Type 2 diabetes; Initial Sample Size: 842 Punjabi Sikh cases, 774 Punjabi Sikh controls; Replication Sample Size: up to 2,512 Punjabi Sikh cases and 3,201 Punjabi Sikh controls; up to 2,569 non-Sikh Punjabi cases and 3,024 non-Sikh Punjabi controls; up to 13,559 other South Asian cases and 20,822 other South Asian controls; up to 16,746 East Asian ancestry cases and 16,961 East Asian ancestry controls; up to 8,130 European ancestry cases and 38,987 European ancestry controls; Strongest SNP-Risk Allele: rs1470579-C; SNPs: rs1470579; Context: intron; Risk Allele Frequency: 0.41; p-Value: 4E-7; OR or beta:     .88; Platform [SNPs passing QC]: Illumina [1,232,008] (imputed)	0.0000004	0.4	P-value	GWAS_Catalog	http://www.genome.gov/gwastudies/index.cfm	type 2 diabetes mellitus
